HIP,RAICRS,DEICRS,Plx,e_Plx,Vmag,B-V,SpType,pmRA,pmDE
288,0.88875927,42.35221969,5.49,0.97,7.90,1.071,K0,98.95,-46.75
289,0.90235854,-51.80908752,3.48,1.17,8.68,1.011,K0III,5.81,-5.03
290,0.90411412,-31.09403248,15.26,1.03,7.78,0.563,F8/G0V,93.72,-42.84
291,0.90454413,-28.41713516,1.46,1.04,8.21,-0.123,Ap...,10.67,-0.76
292,0.90870678,70.30603307,2.92,0.79,8.11,-0.019,A0,10.74,-1.86
293,0.91589999,-57.16443914,13.14,0.97,8.29,0.488,F6V,25.57,-9.58
294,0.91715645,3.90700467,8.63,1.11,7.89,0.401,F0,-23.55,-12.87
295,0.91866516,-41.09585606,2.83,1.45,9.67,0.397,F0V,12.38,-11.99
296,0.92207847,-28.39584776,25.29,1.11,8.24,0.780,G8V,280.23,-143.11
297,0.92444478,48.43692667,6.42,0.75,6.80,0.060,A2,-25.44,-8.19
298,0.92695552,13.36518977,2.81,1.03,8.18,1.015,K0,27.27,-9.64
299,0.93377179,-63.60066163,9.67,0.86,8.44,0.508,F5V,-6.07,-2.05
301,0.93488487,-17.33597002,14.31,0.92,4.55,-0.047,B9IVn,28.57,-7.28
300,0.93490863,42.02349764,6.04,0.85,7.45,0.244,A3,76.50,10.12
302,0.96511407,66.71220273,3.31,0.60,6.31,1.629,M4,7.86,-8.15
303,0.96915935,57.37827711,5.15,0.98,8.15,0.316,Am...,31.94,0.18
304,0.96979503,22.29607151,6.16,1.00,8.27,0.136,A2,-1.47,-9.96
305,0.97206281,-28.39376930,20.44,0.96,7.66,0.741,G5IV,88.62,-17.68
306,0.97473996,-57.83035720,14.36,2.44,8.59,0.616,G2V,150.24,-58.93
307,0.97971157,-42.55949968,16.27,2.71,11.55,1.260,M0,90.57,6.60
308,0.98353978,14.37891704,13.90,0.84,7.09,0.303,F0,79.34,-21.72
309,0.98590855,-45.28859728,4.59,1.04,8.54,0.230,A7V,9.33,-7.70
310,0.98741047,-43.19150360,12.24,1.44,9.58,0.700,G5V,106.17,-127.37
311,0.98758897,36.97021204,6.36,0.90,8.44,0.456,F0,15.02,18.05
312,0.98959785,61.10364174,-0.56,0.85,8.59,0.360,B0Ibp,-1.27,-2.43
313,0.99110213,-48.12518732,10.62,1.46,8.01,0.406,F3/F5V,23.52,0.78
314,0.99172662,20.95381941,5.58,1.02,8.29,0.540,G0,-32.62,-37.12
